BPSID,SCHOOL,Org Code,Count of Teachers,Pct Highly Qualified Teachers,Pct Highly Qualified Courses,Pct Licensed Teachers,Total # of Teachers in Core Academic Areas,Staff-to-Student Ratio
1010,Boston Latin,00350560,109,98.4,98.4,100,567,1 to 22
1020,Boston Latin Academy,00350545,76,99.7,99.7,100,381,1 to 23
1030,O'Bryant Sch Math/Science,00350575,64,94.2,94,96.9,218,1 to 19
1040,Brighton High,00350505,77,96.4,96,97.4,200,1 to 16
1050,Charlestown High,00350515,68,99.7,99.7,100,316,1 to 13
1064,Dorchester Academy,00350651,28,100,100,100,82,1 to 15
1070,East Boston High,00350530,89,93.7,93.3,100,300,1 to 16
1080,The English High,00350535,69,100,100,100,213,1 to 12
1101,Social Justice Academy,00350583,23,86.8,84.8,95.8,66,1 to 13
1102,The Engineering School,00350582,23,89.4,88.3,100,60,1 to 14
1103,Community Academy of Science and Health,00350581,29,93.5,93,100,100,1 to 13
1120,Jeremiah E Burke High,00350525,52,98.3,98.2,100,164,1 to 15
1161,Monument High School,00350538,23,94.6,93.9,100,66,1 to 15
1162,Excel High School,00350522,25,90.9,95,100,80,1 to 16
1163,Odyssey High School,00350577,21,100,100,100,67,1 to 17
1171,Lyon Upper 9-12,00350655,4,64.3,64.3,75.7,14,1 to 4
1195,Boston Community Leadership Academy,00350558,36,100,100,100,115,1 to 12
1200,Snowden Int'l High,00350690,26,98.3,98,100,102,1 to 15
1210,Madison Park High,00350537,134,98.1,97.8,95.5,271,1 to 11
1215,Boston Adult Academy,00350548,16,91.1,91.1,93.7,56,1 to 14
1230,Another Course To College,00350541,16,97.7,97.7,100,86,1 to 13
1251,Parkway Academy of Technology and Health,00350574,19,100,100,100,60,1 to 17
1252,Media Communications Technology High School,00350578,27,98.5,98.4,100,61,1 to 13
1253,Urban Science Academy,00350579,19,98.4,98.4,100,63,1 to 16
1254,Brook Farm Academy,00350576,21,93.9,93.9,100,99,1 to 16
1265,Fenway High School,00350540,18,92.9,92.3,100,52,1 to 16
1285,New Mission High School,00350542,20,93.7,93.6,95,78,1 to 13
1290,William McKinley,00350363,53,100,100,100,316,1 to 8
1325,Boston Middle School Academy,00350413,6,100,100,100,14,1 to 2
1340,Community Academy,00350518,14,100,100,100,53,1 to 4
1410,Boston Day and Evening ,04240505,22,NA,100,95.4,65,1 to 13
1420,Boston Arts Academy,00350546,36,92.4,92.4,100,170,1 to 12
1430,Egleston Comm High School,00350543,8,100,100,100,15,1 to 12
1440,Health Careers Academy Charter School,04520505,19,NA,96.5,96.8,57,1 to 11
1450,Quincy Upper School,00350565,37,98.5,98.5,97.4,135,1 to 14
1459,TechBoston Lower Academy,00350653,52,96.3,96.3,98.1,135,1 to 9
1460,TechBoston Upper Academy,00350654,7,85.7,85.7,85.7,14,1 to 41
1990,Boston International High School,00350507,15,92.3,92.3,100,52,1 to 14
2010,Clarence R Edwards Middle,00350430,36,96.9,96.4,97.2,138,1 to 14
2040,James P Timilty Middle,00350485,50,97,96.7,100,152,1 to 13
2050,Mario Umana Middle School Academy,00350405,43,94.7,94.4,100,232,1 to 11
2090,Patrick F Gavin Middle,00350435,36,92.5,91.8,97.1,147,1 to 13
2140,Washington Irving Middle,00350445,48,96.2,95.7,100,211,1 to 13
2190,John W McCormack,00350179,46,100,100,95.6,109,1 to 14
2260,Dearborn,00350074,25,96.4,96.1,100,77,1 to 12
2360,Lilla G. Frederick Middle School,00350383,53,98.8,98.8,100,327,1 to 12
2440,Harbor School,00350426,24,100,100,100,42,1 to 12
2950,Wm B Rogers Middle,00350470,47,100,100,100,151,1 to 13
4010,Agassiz,00350007,42,100,100,100,141,1 to 12
4022,Michael J Perkins,00350231,14,100,100,100,70,1 to 14
4030,Beethoven,00350021,19,89,88.5,94.7,87,1 to 15
4031,Joyce Kilmer,00350190,25,100,100,100,136,1 to 17
4052,John Winthrop,00350180,24,100,100,100,89,1 to 14
4053,Rafael Hernandez,00350691,26,93.3,92.5,96.2,106,1 to 16
4054,ELC - East Zone,00350005,11,89.5,88.9,100,45,1 to 12
4055,King K-8,00350376,35,92.3,91.4,97.1,116,1 to 12
4061,Curtis Guild,00350062,20,87.9,86.8,95,76,1 to 15
4062,Manassah E Bradley,00350215,20,100,100,100,78,1 to 14
4070,James J Chittick,00350154,21,88.9,88.2,95.1,85,1 to 14
4080,George H Conley,00350122,17,92.8,91.9,100,62,1 to 12
4081,Phineas Bates,00350278,19,100,100,100,77,1 to 16
4082,Mozart,00350237,10,100,100,100,41,1 to 15
4084,O W Holmes,00350138,26,100,100,100,101,1 to 11
4100,Paul A Dever,00350268,38,94.5,94,97.4,167,1 to 13
4113,Nathan Hale,00350243,12,100,100,100,48,1 to 15
4120,Ralph Waldo Emerson,00350288,18,100,100,100,78,1 to 13
4121,Samuel W Mason,00350304,18,100,100,100,58,1 to 12
4130,Sarah Greenwood,00350308,27,93.7,93.2,92.6,146,1 to 14
4140,Edward Everett,00350088,18,100,100,100,66,1 to 14
4150,Emily A Fifield,00350102,19,100,100,100,81,1 to 16
4151,Charles H Taylor,00350054,35,100,100,100,141,1 to 14
4160,Gardner Pilot Academy,00350326,25,100,100,100,90,1 to 14
4171,Mary Lyon,00350004,16,100,100,100,57,1 to 8
4173,Winship Elementary,00350374,18,100,100,100,97,1 to 14
4178,Edison K-8,00350375,56,95.2,94.9,100,196,1 to 13
4190,Elihu Greenwood,00350094,24,100,100,100,87,1 to 14
4192,Franklin D Roosevelt,00350116,28,99.2,99.2,100,121,1 to 15
4200,Henry Grew,00350135,15,100,100,100,79,1 to 17
4201,William Ellery Channing,00350360,22,95.5,95.2,100,105,1 to 15
4210,Dennis C Haley,00350077,19,100,100,100,61,1 to 15
4230,James W Hennigan,00350153,43,95.3,95.1,97.7,224,1 to 11
4231,ELC - West Zone,00350006,8,100,100,100,30,1 to 12
4240,David A Ellis,00350072,27,95.4,95.1,100,103,1 to 12
4242,Higginson/Lewis K-8,00350377,33,79.2,79.6,99.3,108,1 to 12
4250,John P Holland,00350167,56,95.6,95.2,96.4,207,1 to 12
4260,Joseph J Hurley,00350182,23,94.5,94.1,95.7,102,1 to 14
4261,Carter Developmental Center,00350036,5,100,100,100,25,1 to 5
4270,John F Kennedy,00350166,27,100,100,96.2,90,1 to 13
4272,Curley K-8 School,00350020,73,96.1,95.8,100,259,1 to 9
4280,Harvard-Kent,00350200,45,100,100,100,190,1 to 10
4283,Warren-Prescott,00350346,33,95.3,94.9,100,196,1 to 14
4285,Mission Hill School,00350382,12,100,100,100,45,1 to 14
4290,Joseph Lee,00350183,34,100,100,97.9,176,1 to 10
4291,Lee Academy,00350001,22,95.3,94.9,100,98,1 to 13
4311,Joseph P Manning,00350184,13,91.7,90.9,100,55,1 to 12
4321,Dante Alighieri,00350066,7,77.6,81.3,100,32,1 to 19
4322,James Otis,00350156,26,87.5,87,100,115,1 to 12
4331,Lyndon,00350262,42,100,100,100,215,1 to 12
4340,John Marshall,00350178,55,100,100,97.8,279,1 to 13
4350,Mather,00350227,40,97.8,97.6,97.5,212,1 to 14
4360,Donald Mckay,00350080,45,96.5,96.3,100,187,1 to 16
4361,Samuel Adams,00350302,20,100,100,100,75,1 to 14
4370,Ellis Mendell,00350100,15,92.2,91.9,100,62,1 to 13
4381,Eliot Elementary,00350096,23,96.3,100,100,69,1 to 12
4390,Thomas J Kenny,00350328,20,92.4,91.9,100,62,1 to 12
4391,Patrick O'Hearn,00350266,24,100,100,100,69,1 to 10
4400,Richard J Murphy,00350240,68,95.2,95.1,95.6,263,1 to 13
4410,William H Ohrenberger,00350258,43,95.7,96.3,97.7,217,1 to 13
4440,Dr. Catherine Ellison-Rosa Parks Early Ed Sch,00350008,14,67.7,67.7,78.9,62,1 to 13
4450,East Boston ECC,00350009,17,100,100,93.9,66,1 to 10
4460,Haynes Early Education Center,00350010,16,100,100,100,66,1 to 12
4530,William E Russell,00350366,29,100,100,100,116,1 to 14
4531,Roger Clap,00350298,11,100,100,100,41,1 to 15
4541,Patrick J Kennedy,00350264,18,100,100,100,90,1 to 14
4543,Hugh Roe O'Donnell,00350141,15,100,100,100,66,1 to 18
4560,Charles Sumner,00350052,39,99.4,99.3,100,143,1 to 13
4561,John D Philbrick,00350172,8,100,100,100,41,1 to 17
4570,Maurice J Tobin,00350229,31,96.5,96.1,100,127,1 to 14
4571,Farragut,00350108,17,100,100,100,62,1 to 13
4580,William Monroe Trotter,00350370,27,87.1,85.1,100,101,1 to 13
4590,Joseph P Tynan,00350181,25,99.1,99,100,103,1 to 13
4592,Oliver Hazard Perry,00350255,18,88.4,86.4,100,59,1 to 14
4600,Young Achievers,00350380,42,86,85.2,95.2,115,1 to 13
4610,Horace Mann School for the Deaf,00350750,44,87.9,87.4,100,199,1 to 3
4620,Jackson Mann,00350013,68,98.6,98.3,100,294,1 to 10
4621,Baldwin ELC,00350003,10,100,100,100,46,1 to 14
4630,James Condon Elem,00350146,52,100,100,98.1,210,1 to 13
4640,Blackstone,00350390,45,100,100,100,227,1 to 13
4650,Josiah Quincy,00350286,54,93.3,93,100,244,1 to 15
4661,Boston Teachers Union School,00350012,10,100,100,100,37,1 to 15
4671,Mildred Avenue K-8,00350378,58,82.7,83,96.6,276,1 to 13
4680,Orchard Gardens,00350257,55,97.1,96.8,98.2,314,1 to 13
4690,Mattahunt,00350226,50,97.3,96.7,100,153,1 to 11
1991,Newcomers Academy,,,65.9,,,,